# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	1676336343	196	2	2	1	67	94	20	20	4.7204000000008932	0.039600000000000003	1	1	20	20	C	2	0	1	2
E12S200_12ecu_200signals_001	foundation	1752349135	98	1	1	0	74	32	10	10	0	0.039600000000000003	1	2	20	20	A	0	0	9	5
E12S200_12ecu_200signals_001	foundation	1766689504	199	1	1	0	86	147	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	6	9
E12S200_12ecu_200signals_001	foundation	1806487091	58	1	1	0	165	61	10	10	2.0052000000021621	0.039600000000000003	1	2	10	10	A	0	0	5	1
E12S200_12ecu_200signals_001	foundation	1827674792	31	1	1	0	140	54	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	11	5
E12S200_12ecu_200signals_001	foundation	1837271882	142	1	2	0	40	1	1	1	0	0.039600000000000003	1	3	2	2	B	1	0	2	0
E12S200_12ecu_200signals_001	foundation	1837271882	142	2	2	1	41	7	2	2	0.11640000000096506	0.039600000000000003	1	3	2	2	B	1	0	2	0
E12S200_12ecu_200signals_001	foundation	1850472321	113	1	1	0	96	184	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	3	4
E12S200_12ecu_200signals_001	foundation	1906586624	131	1	1	0	150	160	100	100	0	0.039600000000000003	1	1	100	100	A	0	0	10	5
E12S200_12ecu_200signals_001	foundation	1918105316	168	1	1	0	94	39	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	6	4
E12S200_12ecu_200signals_001	foundation	1938224632	182	1	1	0	9	83	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	0	4
E12S200_12ecu_200signals_001	foundation	1968241601	87	1	1	0	43	9	5	5	0	0.039600000000000003	1	2	5	5	A	0	0	2	0
E12S200_12ecu_200signals_001	foundation	1975142484	194	1	1	0	73	31	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	11	4
E12S200_12ecu_200signals_001	foundation	1985110030	91	1	1	0	22	0	1	1	0	0.039600000000000003	1	2	1	1	A	0	0	2	1
E12S200_12ecu_200signals_001	foundation	2055590582	163	1	1	0	7	82	20	20	0	0.039600000000000003	1	3	20	20	A	0	0	3	0
E12S200_12ecu_200signals_001	foundation	2072045297	141	1	1	0	33	136	100	100	0	0.039600000000000003	1	2	100	100	A	0	0	0	5
E12S200_12ecu_200signals_001	foundation	2072393848	189	1	1	0	193	120	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	11	9
E12S200_12ecu_200signals_001	foundation	2074366257	46	1	1	0	46	90	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	2	10
